league,team,venue,city,state,vendor,stand_name,section,item_name,description,category,season,venue_slug
MLS,St. Louis City SC,CITYPARK,St. Louis,MO,DD Mau,,Section 124,DD Mau,"If you want something fresh but comforting, their Vietnamese Bao Sliders and loaded vermicelli noodle bowls topped with crunchy peanuts and crispy shallots are world-class.",Local Partner,2026,citypark
MLS,St. Louis City SC,CITYPARK,St. Louis,MO,Anthonino’s Taverna,,Section 119,Anthonino’s Taverna,"You cannot visit St. Louis without eating Toasted Ravioli (T-Ravs). Anthonino’s serves the absolute best version in the city—crispy, deep-fried, meat-stuffed pasta heavily dusted with parm and served with a side of…",Local Partner,2026,citypark
MLS,Vancouver Whitecaps FC,BC Place,Vancouver,BC,Seoul Food,,Section 206,Seoul Food,"Forget basic chicken nuggets. This spot is constantly slammed for its incredibly crispy, double-fried Korean Fried Chicken, tossed in sweet, sticky, and fiery glazes.",Local Partner,2026,bc-place
MLS,Vancouver Whitecaps FC,BC Place,Vancouver,BC,The Poutinerie,,Sections 212 & 239,The Poutinerie,"It wouldn't be a Canadian soccer match without a proper poutine. They sling standard curds-and-gravy classics alongside massive, heavy-hitting variants like the Slow-Roasted Prime Rib Poutine.",Local Partner,2026,bc-place
NWSL,Kansas City Current,CPKC Stadium,Kansas City,MO,Waldo Thai & Lulu’s Thai Noodle Shop,,Section 132,Waldo Thai & Lulu’s Thai Noodle Shop,"Bringing exceptional Southeast Asian street food to the stadium. Lulu's dishes out a spectacular Vegetable Fried Rice, alongside flavor-packed Yum Nua (Thai beef salad) and Laab Salad.",Local Partner,2026,cpkc-stadium
NWSL,Kansas City Current,CPKC Stadium,Kansas City,MO,Billie’s Grocery,,Section 128,Billie’s Grocery,"A massive win for fresh, conscious eating. They serve up an elite Sesame Chicken Salad Bowl, a hearty Reuben Wrap, and a signature KC Current Bowl. Pro-Tip: This is also where you grab their highly rated stadium…",Local Partner,2026,cpkc-stadium
NWSL,Kansas City Current,CPKC Stadium,Kansas City,MO,Ruby Jean’s Juicery,,Section 132,Ruby Jean’s Juicery,"Perfect for hot summer matches, serving healthy, refreshing Acai Bowls, a Goode Vibes Only Fruit Bowl, assorted cold-pressed juices, and a decadent Sweet Potato Brownie.",Local Partner,2026,cpkc-stadium
NWSL,Kansas City Current,CPKC Stadium,Kansas City,MO,Got Game Grill,,Sections 108 & 133,Got Game Grill,"This handles your elevated stadium classics, pushing out thick burgers, crispy chicken tenders, hot dogs, and a fantastic Black Bean Burger for vegetarians.",Local Partner,2026,cpkc-stadium
NWSL,Kansas City Current,CPKC Stadium,Kansas City,MO,Pitchside Coffee,,South Concourse,Pitchside Coffee,"Keeping you caffeinated during chilly night matches with their custom ""Game Day Grind"" blend. They whip up Oat Milk Lattes, cold brews, and a rotating Specialty Latte inspired by a different KC Current player every…",Local Partner,2026,cpkc-stadium
NWSL,Racing Louisville FC,Lyn Family Stadium,TBD,TBD,The Craft Soda Bar,,Non-Alcoholic,The Craft Soda Bar,"A brilliant addition for kids and mocktail lovers. They mix up custom ""Dirty Sodas"" combining soda, flavored syrups, and coffee creamer—like the Dirty Dr. Pepper, Blue Lagoon, and the Game Mule.",Local Partner,2026,lyn-family-stadium
